date,number_of_devices,total_kWh_delivered
2020-01-01,4,70.029
2020-01-02,16,156.19
2020-01-03,14,64.08
2020-01-04,10,83.119
2020-01-05,11,40.056395277777774
2020-01-06,25,168.63400000000001
2020-01-07,28,197.765
2020-01-08,27,195.688
2020-01-09,35,249.751
2020-01-10,41,257.566
2020-01-11,8,77.432
2020-01-12,4,48.56
2020-01-13,46,574.551
2020-01-14,43,313.81
2020-01-15,43,416.93056055555553
2020-01-16,48,333.817
2020-01-17,35,353.918
2020-01-18,9,60.504999999999995
2020-01-19,4,26.855
2020-01-20,10,75.867
2020-01-21,46,380.127
2020-01-22,40,281.412
2020-01-23,34,230.448
2020-01-24,41,325.141
2020-01-25,8,57.537
2020-01-26,6,51.196000000000005
2020-01-27,34,382.56100055555555
2020-01-28,42,302.456
2020-01-29,36,315.151
2020-01-30,33,222.586
2020-01-31,39,332.374
2020-02-01,7,25.634
2020-02-02,13,108.413
2020-02-03,36,305.889
2020-02-04,43,297.618
2020-02-05,40,353.406
2020-02-06,33,215.055
2020-02-07,45,365.733
2020-02-08,7,49.13
2020-02-09,15,135.58881722222222
2020-02-10,32,243.043
2020-02-11,38,365.261
2020-02-12,46,294.318
2020-02-13,37,266.287
2020-02-14,40,259.076
2020-02-15,6,24.580000000000002
2020-02-16,9,81.463
2020-02-17,9,48.859
2020-02-18,45,345.667
2020-02-19,45,311.081
2020-02-20,44,344.76
2020-02-21,42,253.893
2020-02-22,14,88.16499999999999
2020-02-23,6,38.387
2020-02-24,31,249.192
2020-02-25,35,220.693
2020-02-26,44,333.1842704808838
2020-02-27,36,232.12445161290253
2020-02-28,41,277.457
2020-02-29,11,75.218
2020-03-01,2,7.861000000000001
2020-03-02,39,361.361
2020-03-03,35,180.061
2020-03-04,32,232.6
2020-03-05,38,226.0183130226944
2020-03-06,40,242.9614258482678
2020-03-07,13,115.02
2020-03-08,8,72.601
2020-03-09,34,250.29
2020-03-10,30,205.036
2020-03-11,27,176.08242203404998
2020-03-12,26,150.99551778374936
2020-03-13,10,67.136
2020-03-14,5,26.193
2020-03-15,10,173.989025
2020-03-16,9,95.866
2020-03-17,3,26.982
2020-03-18,4,27.660999999999998
2020-03-19,4,38.687
2020-03-22,3,37.415
2020-03-24,3,11.872
2020-03-25,1,0.798
2020-03-27,1,6.47
2020-03-29,3,100.212
2020-03-31,1,3.52
2020-04-02,1,0.87
2020-04-03,1,46.465
2020-04-05,2,36.899
2020-04-07,1,0.851
2020-04-10,2,6.252000000000001
2020-04-11,1,32.568
2020-04-12,1,33.358
2020-04-13,1,15.558
2020-04-14,1,4.33
2020-04-18,1,30.699
2020-04-19,1,0.879
2020-04-21,1,6.395
2020-04-23,1,3.916
2020-04-24,2,1.725
2020-04-25,1,5.875
2020-04-26,3,29.669981666666665
2020-04-27,2,25.785
2020-04-29,1,0.853
2020-05-05,1,1.285
2020-05-09,1,0.86
2020-05-10,1,38.275
2020-05-11,2,36.022000000000006
2020-05-13,1,14.939
2020-05-16,1,48.878
2020-05-17,2,25.554000000000002
2020-05-18,1,0.901
2020-05-19,2,2.002
2020-05-20,1,6.254
2020-05-26,2,1.3639999999999999
2020-05-27,1,19.086
2020-05-29,1,0.591
2020-06-01,1,6.202
2020-06-03,1,36.333
2020-06-04,2,56.225
2020-06-05,1,1.247
2020-06-07,1,30.234
2020-06-08,3,50.465
2020-06-09,1,14.06
2020-06-11,1,2.494
